,Ticker,Company Name,Industry,Country,Market Cap
5699,PLTR,Palantir Technologies Inc,Technology,US,15274.799719813083
5701,PM,Philip Morris International Inc,Tobacco,US,146536.94469116605
5709,PNC,PNC Financial Services Group Inc,Banking,US,64491.9966449716
5722,PPG,PPG Industries Inc,Chemicals,US,29083.275403774533
5723,PPL,PPL Corp,Utilities,US,21305.187263963115
5740,PSA,Public Storage,Real Estate,US,59294.532674
5748,PSX,Phillips 66,Energy ,US,42553.78000782022
5756,PWR,Quanta Services Inc,Construction,US,20109.027542238677
5759,PXD,Pioneer Natural Resources Co,Energy ,US,57700.121674924296
5780,RBLX,Roblox Corp,Media,US,22641.280823747074
5788,RCL,Royal Caribbean Cruises Ltd,"Hotels, Restaurants & Leisure",US,10457.426900415445
5802,REXR,Rexford Industrial Realty Inc,Real Estate,US,10643.791881
5804,RF,Regions Financial Corp,Banking,US,19883.952510540694
5822,RJF,Raymond James Financial Inc,Financial Services,US,22337.88666257651
5824,RKT,Rocket Companies Inc,Financial Services,US,14968.39819
5833,RMD,Resmed Inc,Health Care,US,31624.868247704115
5844,ROK,Rockwell Automation Inc,Electrical Equipment,US,27474.773231874755
5845,ROL,Rollins Inc,Commercial Services & Supplies,US,16614.161598393446
5847,ROP,Roper Technologies Inc,Technology,US,42501.38565352063
5849,RPM,RPM International Inc,Chemicals,US,11937.180584380763
5855,RS,Reliance Steel & Aluminum Co,Metals & Mining,US,11089.297133149092
5857,RSG,Republic Services Inc,Commercial Services & Supplies,US,45112.11901531326
5860,RTX,Raytheon Technologies Corp,Aerospace & Defense,US,129327.86280225264
5866,RYAN,Ryan Specialty Holdings Inc,Insurance,US,10768.3384847137
5893,SCCO,Southern Copper Corp,Metals & Mining,US,35322.59683154772
5895,SCHW,Charles Schwab Corp,Financial Services,US,133441.15547735026
5930,SHW,Sherwin-Williams Co,Chemicals,US,60081.222003831965
5942,SJM,J M Smucker Co,Food Products,US,14918.028531164166
5972,SNA,Snap-On Inc,Machinery,US,11367.90060342093
5973,SNAP,Snap Inc,Media,US,18501.39825492268
5977,SNOW,Snowflake Inc.,Technology,US,54550.96812348455
5981,SO,Southern Co,Utilities,US,84741.90031595812
5995,SPG,Simon Property Group Inc,Real Estate,US,33170.549889
5996,SPGI,S&P Global Inc,Financial Services,US,115934.60540198143
6006,SQ,Block Inc,Technology,US,39147.5447895456
6013,SRE,Sempra Energy,Utilities,US,52426.96187220047
6045,STT,State Street Corp,Financial Services,US,24880.476567490303
6048,STZ,Constellation Brands Inc,Beverages,US,46718.45798892372
6051,SUI,Sun Communities Inc,Real Estate,US,18938.833221
6060,SWK,Stanley Black & Decker Inc,Machinery,US,12678.162166715214
6068,SYF,Synchrony Financial,Financial Services,US,15401.83592526022
6069,SYK,Stryker Corp,Health Care,US,77086.62498020672
6070,SYY,Sysco Corp,Retail,US,40883.59343692536
6072,T,AT&T Inc,Telecommunication,US,122495.94000000002
6077,TAP,Molson Coors Beverage Co,Beverages,US,11228.438316873662
6090,TDG,TransDigm Group Inc,Aerospace & Defense,US,32605.87556645161
6094,TDY,Teledyne Technologies Inc,Electrical Equipment,US,17232.59842206661
6104,TFC,Truist Financial Corp,Banking,US,61664.02927709196
6106,TFX,Teleflex Inc,Health Care,US,10449.090881754644
6114,TGT,Target Corp,Retail,US,75759.22791922712
6126,TJX,TJX Companies Inc,Retail,US,73750.08537198495
6137,TMO,Thermo Fisher Scientific Inc,Life Sciences Tools & Services,US,212956.8951581824
6151,TPL,Texas Pacific Land Corp,Energy ,US,14579.913784015444
6161,TRGP,Targa Resources Corp,Energy ,US,15772.926294015082
6172,TRU,TransUnion,Professional Services,US,14206.500696879186
6173,TRV,Travelers Companies Inc,Insurance,US,38610.846257974285
6179,TSN,Tyson Foods Inc,Food Products,US,26312.973904611878
6194,TWLO,Twilio Inc,Technology,US,12271.238798138804
6200,TWTR,Twitter Inc,Media,US,29561.458141336097
6202,TXT,Textron Inc,Aerospace & Defense,US,13083.229615572398
6205,TYL,Tyler Technologies Inc,Technology,US,15121.934357982043
6206,U,Unity Software Inc,Technology,US,12162.059962641384
6211,UBER,Uber Technologies Inc,Road & Rail,US,57516.62069048755
6214,UDR,UDR Inc,Real Estate,US,14793.756488
6222,UI,Ubiquiti Inc,Communications,US,18273.639395140068
6229,UNH,UnitedHealth Group Inc,Health Care,US,482984.8522032152
6232,UNP,Union Pacific Corp,Road & Rail,US,139845.74461538185
6236,UPS,United Parcel Service Inc,Logistics & Transportation,US,170534.91389276207
