Ticker,Company Name,Industry,Country,Market Cap
MNTK,Montauk Renewables Inc,Utilities,US,2482.9075602777775
MNTS,Momentus Inc,Aerospace & Defense,US,142.403204
MNTV,Momentive Global Inc,Technology,US,1027.406147774892
MNTX,Manitex International Inc,Machinery,US,110.2921785
MOBQ,Mobiquity Technologies Inc,Media,US,14.839626242774571
MODD,Modular Medical Inc,Health Care,US,52.71630136764707
MODV,ModivCare Inc,Health Care,US,1454.6612889749283
MOFG,Midwestone Financial Group Inc (IOWA),Banking,US,477.6762712248617
MOGO.TO,Mogo Inc,Financial Services,CA,112.056451
MOHO,Ecmoho Ltd,Retail,CN,7.338533
MOLN.SW,Molecular Partners AG,Biotechnology,CH,193.034901
MOMO,Hello Group Inc,Media,CN,1039.3832150000003
MON,Monument Circle Acquisition Corp,N/A,US,308.7499929893563
MOND,Mondee Holdings Inc,"Hotels, Restaurants & Leisure",US,1002.5906682842973
MOR.DE,MorphoSys AG,Biotechnology,DE,572.203532
MORF,Morphic Holding Inc,Biotechnology,US,1090.0550648627584
MORN,Morningstar Inc,Financial Services,US,9583.89371251913
MOTS,Motus GI Holdings Inc,Health Care,US,8.7207953592233
MOVE,Movano Inc,Technology,US,90.90878988602941
MOXC,Moxian (BVI) Inc,Retail,HK,44.44334631147541
MPAA,Motorcar Parts of America Inc,Auto Components,US,279.5626969385848
MPAC,Model Performance Acquisition Corp,N/A,VG,78.01312300385729
MPB,Mid Penn Bancorp Inc,Banking,US,457.92707069861115
MPRA,Mercato Partners Acquisition Corp,N/A,US,288.362496001993
MPWR,Monolithic Power Systems Inc,Semiconductors,US,19858.188058321855
MQ,Marqeta Inc,Technology,US,3929.8937386920975
MRAI,Marpai Inc,Insurance,US,18.61455984174085
MRAM,Everspin Technologies Inc,Semiconductors,US,135.6997538260234
MRBK,Meridian Corp,Banking,US,180.69792753922542
MRCC,Monroe Capital Corp,Financial Services,US,183.08056799999997
MRCY,Mercury Systems Inc,Aerospace & Defense,US,2676.7740201250267
MREO,Mereo Biopharma Group PLC,Biotechnology,GB,133.076977
MRIN,Marin Software Inc,Technology,US,27.29974117241379
MRKR,Marker Therapeutics Inc,Biotechnology,US,25.46431404968944
MRM,Medirom Healthcare Technologies Inc,Diversified Consumer Services,JP,30.347506
MRNA,Moderna Inc,Biotechnology,US,54208.51684017215
MRNS,Marinus Pharmaceuticals Inc,Pharmaceuticals,US,244.026424
MRSN,Mersana Therapeutics Inc,Biotechnology,US,753.0624511464969
